Title,Company,Domain,Job Description,Skills,Experience Level,Salary,Location,Work Type,End Date,Source
Voip Network Engineer,NEXPLAY SECURE,Core Engineering,"POSITION: VOIP Engineer REPORTS TO: Director of Telephony Implementation LOCATION: Ahmedabad, Gujarat PRIMARY RESPONSIBILITIES INCLUDE, but are not limited to: We’re looking for a VOIP Engineer to join our team. In this role, you will be a member of the team responsible for deploying voice installations, resources, and processes utilizing innovative technologies to deliver world-class solutions to the hospitality market. Must have Hosted and On-Prem PBX experience. The ideal candidate will be a…","C, R",Not Specified,Not Disclosed,"Ahmedabad, Gujarat",Onsite,2026-04-28,Adzuna
Network Engineer - Campus LAN,SIRO,Game / AR / VR,"Minimum of 8 years of experience (10 years preferred) in Network Engineering and related technologies (campus LAN) preferably in a global enterprise • Strong network engineering experience • Experience working for large global companies is preferred • SME level knowledge in campus LAN, wireless technologies • High level internetworking problem solving in an enterprise level network environment • Fundamental experience with networking environments, routers, switches, wireless, mainly Cisco • Dee…","C, R",Entry Level,Not Disclosed,India,Onsite,2026-05-16,Adzuna
Senior Azure Network Engineer,Elevate Global,DevOps / Cloud,"Job Title: Senior Network Engineer Location: Bangalore – Bhartiya City Tech Park Experience: 5 Years Job Type: Full-time/ Permanent Notice Period: Immediate to 15 days. Transportation: 2-way cab will be provided I. Job Summary: The Senior Network Engineer is responsible for the design, management, and support of enterprise network infrastructure. This role involves monitoring, troubleshooting, and resolving network‑related issues affecting voice and data services. The engineer will collaborate …","C, R, Azure",Senior (5+ yrs),Not Disclosed,Bengaluru,Onsite,2026-05-18,Adzuna
Network Engineer-Switching& Routing,LTIMindtree,Game / AR / VR,"Role: Core Network Engineer Location: Hyderabad Mandatory Skills: BGP, OSPF and Switching Notice period; Immediate to 15 days Experience: 3-10 years Shift: 24/7 Job description: A Network Engineer is responsible for the setup, configuration, running network deployments, buildouts. This includes but not limited to, hands on work in a datacenter lab environment, buildouts deployments, configuring network elements to pass traffic through the test setup, Configuring a traffic generator, troubleshoo…","C, R",Not Specified,Not Disclosed,Hyderabad,Onsite,2026-05-24,Adzuna
Network Engineer [T500-24808],Talent500,Game / AR / VR,"Talent500 is hiring for one of its clients. Job Title: Network Engineer Location: India Company: ANSR Medtech About Us: ANSR Medtech is an innovative medical device company improving the lives of people with diabetes and other conditions through its Omnipod delivery system. Job Summary: We are seeking a motivated and detail-oriented Network Engineer to join our IT team. The successful candidate will assist in the design, implementation, and maintenance of our global network infrastructure, ensu…","C, R",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-26,Adzuna
Network Engineer (Linux Infrastructure),Innspark,Game / AR / VR,"About the Role We are looking for a passionate and curious Linux Infrastructure / Network Engineer with 2–3 years of experience in networking, infrastructure, or Linux administration. The ideal candidate should have a strong foundation in system and network management, along with a keen interest in learning and working on emerging technologies. Key Responsibilities Design, implement, and manage LAN/WAN network infrastructure Configure and maintain routers, switches, and firewalls Monitor networ…","C, R, Linux, Firewalls",Not Specified,Not Disclosed,Delhi,Onsite,2026-05-10,Adzuna
Opening for Network Engineer @ Bangalore,Quess IT Staffing,Core Engineering,"Hi, Exp: 3-5 Years Essence of Role – Key Accountabilities Configure, Install, Test, Commission and Document new network installations Assist Project and Service Transition teams in validating project designs. Act as point of contact for projects as necessary to help manage delivery/implementation. Build router/switch configuration from low level design documents or templates. Stage Cisco/HP devices for customer HQ and branches. Adhere to change management processes to ensure implementations are…","C, R",Mid Level (3-5 yrs),Not Disclosed,Bengaluru,Onsite,2026-05-04,Adzuna
Senior Network Engineer – SD-WAN,Tata Communications Transformation Services,Game / AR / VR,"Senior Network Engineer – SD-WAN Experience: 6–10 Years Location: Chennai/Bangalore – India Role Summary The Senior Network Engineer – SD-WAN) is responsible for end-to-end delivery, optimization, and operational excellence of enterprise SD-WAN and core networking solutions. The role requires advanced hands-on expertise in SD-WAN technologies, strong routing and switching skills, and ownership of complex network environments. Key Responsibilities - Lead design, implementation, and support of Ci…","C, R, Excel",Senior (5+ yrs),Not Disclosed,Bengaluru,Onsite,2026-05-08,Adzuna
Senior Network Engineer [T500-23928],ADM,Game / AR / VR,"About ADM: We are one of the world’s largest nutrition companies and a global leader in human and animal nutrition. We unlock the power of nature to provide nourishing quality of life by transforming crops into ingredients and solutions for foods, beverages, supplements, livestock, aquaculture, and pets. About ADM India Hub: At ADM, we have long recognized the strength and potential of India’s talent pool, which is why we have maintained a presence in the country for more than 25 years. Buildin…","C, R",Lead/Principal (8+ yrs),Not Disclosed,Bengaluru,Onsite,2026-05-21,Adzuna
Network Engineer - Data Center Operations,TECEZE,Backend / API,"Network Engineer - Data Center Operations Location: Bangalore Position Overview Network Engineer is responsible for delivering onsite network deployment, installation, and maintenance services. The role involves performing rack and stack activities, IOS upgrades, and device health validation for a range of network infrastructure components including switches, routers, servers, and wireless access points. This position requires hands-on technical expertise, attention to detail, and effective coo…","C, R",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-05,Adzuna
Senior Network Engineer I _IHC081,Marriott Tech Accelerator,Embedded / Hardware,"About Us: Marriott International Inc. , headquartered in Bethesda, Maryland, USA, was founded in May 1927 by J. Willard Marriott and Alice S. Marriott with a modest nine-seat A&W root beer stand. Guided by the family's leadership and core principles, Marriott International today has grown into a global hospitality giant, operating approximately 9,000 properties and over 30 leading brands in more than 140 countries and territories. From such humble beginnings to becoming the worlds largest hotel…","C, R",Entry Level,Not Disclosed,Hyderabad,Onsite,2026-04-28,Adzuna
Network Engineer III [T500-25149],McDonald's Global Office in India,Game / AR / VR,"About McDonald’s: One of the world’s largest employers with locations in more than 100 countries, McDonald’s Corporation has corporate opportunities in Hyderabad. Our global offices serve as dynamic innovation and operations hubs, designed to expand McDonald's global talent base and in-house expertise. Our new office in Hyderabad will bring together knowledge across business, technology, analytics, and AI, accelerating our ability to deliver impactful solutions for the business and our customer…","C, R, ROS",Not Specified,Not Disclosed,Hyderabad,Onsite,2026-05-05,Adzuna
Network Engineer_8 TO 12 YEARS_NOIDA,Tata Consultancy Services,Game / AR / VR,"TCS IS HIRING FOR NETWORK ENGINEER_ 8 TO 12 YEARS_NOIDA Switching (Cisco Nexus, and Catalyst switches), Routing (Cisco OSPF, BGP, iWAN), Wireless (Cisco WLC), Firewall (Cisco ASA/FP, Checkpoint & Palo Alto, VPN, ZScaler), SD WAN, Cisco ACI, Cisco SDA (Software-Defined Access) fabric, Prime and ISE. Responsible for Designing and providing WAN/LAN network administration, Enterprise wireless, SD WAN administration and Cisco ASA /Palo Alto firewall administration. Troubleshooting the Level 3 and ad…","C, R",Not Specified,Not Disclosed,Noida,Onsite,2026-05-12,Adzuna
Network Engineer_6 to 10 years_Hyderabad,Tata Consultancy Services,Backend / API,"TCS IS HIRING FOR CISCO UCS ADMIN_ 6 TO 10 YEARS EXP RANGE Very good Experience with Cisco UCS Blade Server environment Extensively worked on Cisco UCS M1 - M5 B and C series servers. Cisco UCS Firmware Upgrading. Implementation and deploying Cisco UCS B series chassis and Blade servers. Configuring Fabric switches. Configuring service profiles, templates, policies, roles etc. Configuring CIMC in UCS servers & configuring hardware RAID like RAID 0 / 1 / 5 / 6 Hands on experience in updating / u…","C, Go, R",Not Specified,Not Disclosed,Hyderabad,Onsite,2026-05-08,Adzuna
Network Engineer L2 - SD WAN Versa,Anunta,Software Engineering,"Job Responsibilities : Must have min experience of 4 yrs in SD WAN Versa Excellent verbal, written and interpersonal communication skills Working knowledge of Cisco products like switches, routers, Access points and firewalls Working knowledge of checkpoint / Palo Alto /cisco ASA / Juniper firewalls Knowledge on advanced Routing protocols, QOS, HSRP, GLBP Knowledge on switching, VTP,STP etc Manage tickets & support Ensure the availability and continuity of network services in accordance with ou…","C, R, Excel, Firewalls",Not Specified,Not Disclosed,Mumbai,Onsite,2026-04-30,Adzuna
Network Engineer 18th Apr 26 Walkin Chennai,Tata Consultancy Services,AI / ML / Data Science,"TCS has been a great pioneer in feeding the fire of young techies like you. We are a global leader in the technology arena and theres nothing that can stop us from growing together. What we are looking for Role: Network Engineer Experience Range: 5 to 12 Years Location: Chennai Interview Date: 18th April 26 (09:00 AM to 12:00 PM) Interview Venue: Gate 4, TCS Siruseri Campus,Plot No. 1, G‑1, SIPCOT Information Technology Park Near Siruseri Special Economic Zone (SEZ), Navalur Post, Siruseri, Che…","C, R",Lead/Principal (8+ yrs),Not Disclosed,Chennai,Onsite,2026-05-09,Adzuna
"Network Engineer L2/L3 - Fortigate, SD-WAN",Black Box,Cybersecurity,"About Black Box : Black Box is a trusted IT solutions provider delivering cutting-edge technology solutions and world-class consulting services in Unified Communications, Enterprise Networking, Data Center, Digital Applications and Cyber Security. We deliver solutions, services and products to more than 8,000 clients worldwide. These clients trust our 4000 team members in 35 countries, Satisfied clients, including 100 in the Fortune 500, count on our global team members who operate across 75 su…","C, Rust, R, Git, ROS",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-17,Adzuna
Network Automation Engineer,Akkodis,Game / AR / VR,"10-15 years’ experience working in a network engineering position. Extensive knowledge of IP Networking protocols BGP, OSPF, MPLS, etc. and hands on experience managing large Service Provider Networks. Proficiency in network automation tools such as Ansible (including AWX), Python scripting, and YANG data models will be highly regarded Experience and practical knowledge of network automation practices using Ansible playbook and Python programming. Working knowledge in a Linux environment in add…","Python, C, R, Ansible, Linux",Entry Level,Not Disclosed,Hyderabad,Onsite,2026-05-15,Adzuna
Network Automation Engineer,HCLTech,AI / ML / Data Science,"Network Automation Engineer / NRE / NetDevOps Engineer Experience: 7 to 15 years Location : Chennai , Noida, Hyderabad, Bangalore We are looking for a Network Automation/ NetDevOps Engineer with strong networking fundamentals and hands‑on automation experience to build reliable, scalable network platforms. Key Skills & Experience Experience in Network Engineering, NRE, or NetDevOps roles Strong Routing & Switching knowledge: BGP, OSPF, EIGRP, STP, VLANs, VRFs, HSRP/VRRP Hands‑on in one or more …","C, Scala, R",Not Specified,Not Disclosed,Noida,Onsite,2026-05-16,Adzuna
Network Security Engineer,The AES Group,DevOps / Cloud,"Job Description We are looking for an experienced Network Engineer with strong expertise in enterprise networking, security platforms, and cloud networking. ✅ Required Qualifications 8 years in networking (LAN/WAN/IP networks) 3 years with Fortinet solutions 3 years SD-WAN experience Strong routing protocol knowledge (EIGRP, OSPF, BGP) Experience with AWS/Azure networking Experience in change-controlled environments Roles & Responsibilities Implement, maintain, and troubleshoot enterprise IP n…","C, R, AWS, Azure",Not Specified,Not Disclosed,Hyderabad,Onsite,2026-05-15,Adzuna
Network Operations Engineer,CloudFulcrum,DevOps / Cloud,"Job Description: The Network Infrastructure service team is responsible for architecting, building, automating, and managing our Global Network Infrastructure in the datacenter and all three major public cloud providers. As a Senior Network Engineer, you will work with talented colleagues on challenging projects within the Global Infrastructure and Platform service team. You’ll enjoy this team if you like working in a highly collaborative environment focused on being entrepreneurial, agile, and…","C, R, Agile",Senior (5+ yrs),Not Disclosed,Bengaluru,Onsite,2026-04-30,Adzuna
Network Security Engineer,Soffit Infrastructure Services Ltd,Cybersecurity,"Job Overview The purpose of this role is to cover primarily the tasks focused on network operations, which include managing and supporting the daily tasks related to Network, such as Firewall, Sdwan, WAF, ADC, Switches maintenance. The role will require managing a network devices, monitor the network and support L2-L3 incidents and tickets, for customers abroad . The role will also include performing improvements and applying standard best practices to network devices configuration. Key Respons…","C, R",Not Specified,Not Disclosed,"Kochi, Ernakulam",Onsite,2026-05-06,Adzuna
Network Security Engineer,Advance Auto Parts,Cybersecurity,"INTRODUCTION The Infrastructure Architecture and Engineering group is a component of The Infrastructure Engineering, Operations and Support (iEOS) organization that is part of Advance Auto Parts Information Technology function. This team is responsible for all phases of Infrastructure delivery from architecture to daily operations. iEOS operates at significant scale supporting over 70,000 connected end points and nearly 75,000 team members across North America. We deliver infrastructure and sup…","C, R, ROS",Lead/Principal (8+ yrs),Not Disclosed,Hyderabad,Onsite,2026-05-25,Adzuna
Network Security Engineer,LTM,DevOps / Cloud,"Job Description: We are seeking a dedicated and driven Specialist - Cloud & Infra Management with expertise in Cisco-sdn-network-administration, AWS Infra Services, Cisco DC/Branches Routers & Switches, Cisco Meraki / Velocloud, and Cisco Wireless. This role requires in-depth skills in network administration, troubleshooting, and management, along with a solid understanding of network security and hardening processes. Responsibilities: Handle configuration and troubleshooting tasks on devices s…","C, R, AWS",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-13,Adzuna
Network Engineer (Cisco Wireless & SD WAN) - Australia Shift,ITC Infotech,Game / AR / VR,Network Engineer L3 (Cisco Wireless & SD WAN) Job Description: Senior Network Engineer Cisco Catalyst Nexus DNACSDA 9800 Wireless Voice SD-WAN AUNZ Time Zone Experience: 8-12 years Location: Bangalore Shift : Australia Shift Timing (4:30 AM to 01:00 PM IST) Mode: Hybrid Role Summary : We are seeking a Senior Network Engineer 8-12 years experience to support and enhance an enterprise Cisco network environment aligned to Australia East and New Zealand time zones. This is a hands-on role with stro…,"C, R",Senior (5+ yrs),Not Disclosed,Bengaluru,Hybrid,2026-04-28,Adzuna
Lead Network Operations Engineer,Tata Consultancy Services,Cybersecurity,"Role: Lead Network Operations Engineer Required Technical Skill Set: Lead Network Operations Engineer Desired Experience Range: 7 - 10 yrs Notice Period: Immediate to 90Days only Location of Requirement: Bangalore We are currently planning to do a Virtual Interview Job Description: Primary Skills: Networking Routing Switching and Security, Firewall, Networking Security. Data center networks, BGP, OSPF, EIGRP,VXLAN, CISCO,IOS, IOS-XE, IOS-XR, XN-OS, CISCO ASA, Palo Alto, Bash, Python. Job Summar…","Python, C, R, Bash",Lead/Principal (8+ yrs),Not Disclosed,Bengaluru,Onsite,2026-05-01,Adzuna
IT Network & Security Engineer - L3,Joyalukkas,Cybersecurity,"Role - IT Network & Security Engineer, Band - L3 Location - Kochi Years experience - 10 years. Job type - Full time Job Summary We are seeking a Skilled Network Engineer to join our IT team to design, implement, manage, and maintain Fortinet-based network security infrastructure, including FortiSASE solutions. The ideal candidate will have strong hands-on experience with FortiGate firewalls, VPNs, FortiManager, FortiAnalyzer, and FortiSASE, along with a solid understanding of network protocols …","C, R, Firewalls",Lead/Principal (8+ yrs),Not Disclosed,"Kerala, India",Onsite,2026-05-12,Adzuna
Azure Network Security Engineer (Australia Shift),ITC Infotech,DevOps / Cloud,"Azure Network & Firewall Engineer Job Title : Azure Network Security Engineer Experience: 6-12 years overall 3 years in Azure Location: Bangalore Shift : Australia Shift Timing (4:30 AM to 01:00 PM IST) Mode: Hybrid Job Summary: We are seeking an experienced Azure Network Security Engineer to design, implement, and support secure cloud and hybrid network environments. The role combines strong hands-on expertise in Azure networking and Azure Firewall with foundational knowledge of enterprise net…","C, R, Azure",Not Specified,Not Disclosed,Bengaluru,Hybrid,2026-04-29,Adzuna
Network Security Engineering Manager [T500-25068],Marriott Tech Accelerator,Embedded / Hardware,"About Us: Marriott International Inc., headquartered in Bethesda, Maryland, USA, was founded in May 1927 by J. Willard Marriott and Alice S. Marriott with a modest nine-seat A&W root beer stand. Guided by the family's leadership and core principles, Marriott International today has grown into a global hospitality giant, operating approximately 9,000 properties and over 30 leading brands in more than 140 countries and territories. From such humble beginnings to becoming the world’s largest hotel…","C, R",Entry Level,Not Disclosed,Hyderabad,Onsite,2026-05-25,Adzuna
Network Security Engineering Manager 2026_419,Marriott Tech Accelerator,Embedded / Hardware,"About Us: Marriott International Inc., headquartered in Bethesda, Maryland, USA, was founded in May 1927 by J. Willard Marriott and Alice S. Marriott with a modest nine-seat A&W root beer stand. Guided by the family's leadership and core principles, Marriott International today has grown into a global hospitality giant, operating approximately 9,000 properties and over 30 leading brands in more than 140 countries and territories. From such humble beginnings to becoming the worlds largest hotel …","C, R",Entry Level,Not Disclosed,Hyderabad,Onsite,2026-05-14,Adzuna
Senior Network QA Engineer - SRv6/FRR,ACL Digital,Game / AR / VR,"Dear All, Greetings of the day… We are seeking a Senior Network QA Engineer to validate EVPN and SRv6-based systems built on FRR and Linux. This includes automation, scale testing, interoperability, and failure-injection testing. If anyone having similar experience & interested please connect with us or you can refer your connections those open to work. Job Responsibilities Functional & Integration Testing Validate EVPN Type-2/3 behavior over SRv6 Test SRv6 dataplane (DT2U / DT2M / DX2, encapsu…","C, R, Linux",Senior (5+ yrs),Not Disclosed,Bengaluru,Onsite,2026-05-10,Adzuna
Lead Systems Engineer – Networking,Frontend Arts,Frontend / Web,"Frontend Arts brings together deep industry expertise and the latest IT advancements to deliver world-class digital transformation services to our clients. We partner with leading companies across industries to create innovative solutions that drive performance and growth. We are focused in technology innovation to accelerate the digital transformation of our customers, end users with a modern process driven development cycle ensuring high quality and scalable solutions that is compliant, secur…","C, Scala, R, Git, ROS",Lead/Principal (8+ yrs),Not Disclosed,India,Onsite,2026-05-22,Adzuna
Network Protocol Test Engineer,Celestica,Game / AR / VR,"Key leadership skills  Dynamic, motivated software test Technical Lead, with a keen interest in learning new technical skills.  Strong domain skills in their field of expertise  Be able to establish and maintain strong, collaborative interlocks with key stakeholders in product management, hardware design and program management teams  Strong communication skills Technical skills requirements:  Expertise in end to end software development life-cycle, with a concentration on systems and solut…","C, R",Lead/Principal (8+ yrs),Not Disclosed,Chennai,Onsite,2026-04-29,Adzuna
Senior Network Security Engineer I [T500-25066],Marriott Tech Accelerator,Embedded / Hardware,"About Us: Marriott International Inc., headquartered in Bethesda, Maryland, USA, was founded in May 1927 by J. Willard Marriott and Alice S. Marriott with a modest nine-seat A&W root beer stand. Guided by the family's leadership and core principles, Marriott International today has grown into a global hospitality giant, operating approximately 9,000 properties and over 30 leading brands in more than 140 countries and territories. From such humble beginnings to becoming the world’s largest hotel…","C, R",Entry Level,Not Disclosed,Hyderabad,Onsite,2026-05-04,Adzuna
Senior Network Security Engineer II 2026_434,Marriott Tech Accelerator,Embedded / Hardware,"About Us: Marriott International Inc., headquartered in Bethesda, Maryland, USA, was founded in May 1927 by J. Willard Marriott and Alice S. Marriott with a modest nine-seat A&W root beer stand. Guided by the family's leadership and core principles, Marriott International today has grown into a global hospitality giant, operating approximately 9,000 properties and over 30 leading brands in more than 140 countries and territories. From such humble beginnings to becoming the worlds largest hotel …","C, R",Entry Level,Not Disclosed,Hyderabad,Onsite,2026-05-12,Adzuna
Senior Network Security Engineer I 2026_433,Marriott Tech Accelerator,Embedded / Hardware,"About Us: Marriott International Inc., headquartered in Bethesda, Maryland, USA, was founded in May 1927 by J. Willard Marriott and Alice S. Marriott with a modest nine-seat A&W root beer stand. Guided by the family's leadership and core principles, Marriott International today has grown into a global hospitality giant, operating approximately 9,000 properties and over 30 leading brands in more than 140 countries and territories. From such humble beginnings to becoming the worlds largest hotel …","C, R",Entry Level,Not Disclosed,Hyderabad,Onsite,2026-05-27,Adzuna
Senior Network Security Engineer I [T500-25069],Marriott Tech Accelerator,Embedded / Hardware,"About Us: Marriott International Inc. , headquartered in Bethesda, Maryland, USA, was founded in May 1927 by J. Willard Marriott and Alice S. Marriott with a modest nine-seat A&W root beer stand. Guided by the family's leadership and core principles, Marriott International today has grown into a global hospitality giant, operating approximately 9,000 properties and over 30 leading brands in more than 140 countries and territories. From such humble beginnings to becoming the world’s largest hote…","C, R",Entry Level,Not Disclosed,Hyderabad,Onsite,2026-05-03,Adzuna
Senior Network Security Engineer I 2026_431,Marriott Tech Accelerator,Embedded / Hardware,"About Us: Marriott International Inc. , headquartered in Bethesda, Maryland, USA, was founded in May 1927 by J. Willard Marriott and Alice S. Marriott with a modest nine-seat A&W root beer stand. Guided by the family's leadership and core principles, Marriott International today has grown into a global hospitality giant, operating approximately 9,000 properties and over 30 leading brands in more than 140 countries and territories. From such humble beginnings to becoming the worlds largest hotel…","C, R",Entry Level,Not Disclosed,Hyderabad,Onsite,2026-05-07,Adzuna
Network Security Engineer (Deployment) - Fortinet NSE4 or above,CACI Ltd,Cybersecurity,"Looking for an immediate starter, sorry if you have a 90, 60 or 30 day notice, that's too long for this urgent role, we'd like someone to start in 2 weeks A Network Security Engineer is required to join the Pune Deployment Team, responsible for the deployment and planning of the Bank’s network infrastructure in the UK, Middle-East, Africa and India. The team is responsible for the delivery and deployment of network/security projects and requests to enhance the client’s infrastructure to meet cu…","C, R",Not Specified,Not Disclosed,India,Onsite,2026-05-14,Adzuna
"Full Stack Network & Systems Engineer (NetFlow, logs, Zeek)",Luxoft,Full Stack,Project Description: This role is for a Versatile Network & Systems Engineer who can operate across both infrastructure and development domains. This role will be responsible for building automation/tools to support operational efficiency. Responsibilities: Implement and maintain network monitoring and alerting systems Develop automation tools and scripts using Node.js and/or Python Work with Zeek monitor Support cloud-based infrastructure across AWS and/or Azure Collaborate with cross-function…,"Python, C, R, Node, AWS, Azure, ROS",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-09,Adzuna
Network Security Engineer (Palo Alto & Azure) - Australia Shift,ITC Infotech,DevOps / Cloud,"Network Security Senior / Lead (Palo Alto & Azure) Experience: 8-12 years Location: Bangalore Shift : Australia Shift Timing (4:30 AM to 01:00 PM IST) Mode: Hybrid Role Summary : We are seeking a highly skilled Network Security Lead to join our dynamic IT team. The ideal candidate will be responsible for maintaining the integrity and security of the enterprise network, with a focus on managing and optimizing Palo Alto, Cisco, and Azure firewall solutions. What you will do : Managing the on-prem…","C, R, Azure",Senior (5+ yrs),Not Disclosed,Bengaluru,Hybrid,2026-04-28,Adzuna
"Senior Principal Engineer-Networking, NSX‑T",Dell Technologies,Game / AR / VR,"When our customers are looking for consultative IT expertise, where else would they turn but to the company driving human progress through technology? Our Solutions Architecture team within Professional Services are specialists in package customization and integration as well as total, end-to-end solutions in targeted industry segments. After detailed consultation with our customers and careful analysis, we develop new IT systems or replace existing systems that support customers’ strategic, op…","C, R",Lead/Principal (8+ yrs),Not Disclosed,Mumbai,Onsite,2026-05-01,Adzuna
Senior Network Security Engineer II 2026_434 [T500-25067],Marriott Tech Accelerator,Embedded / Hardware,"About Us: Marriott International Inc., headquartered in Bethesda, Maryland, USA, was founded in May 1927 by J. Willard Marriott and Alice S. Marriott with a modest nine-seat A&W root beer stand. Guided by the family's leadership and core principles, Marriott International today has grown into a global hospitality giant, operating approximately 9,000 properties and over 30 leading brands in more than 140 countries and territories. From such humble beginnings to becoming the world’s largest hotel…","C, R",Entry Level,Not Disclosed,Hyderabad,Onsite,2026-05-11,Adzuna
L2 Anti-DDoS / Network Security Engineer || Mumbai || Only Immediate Joiner,Innova ESI,AI / ML / Data Science,"Job Title: L2 Anti-DDoS / Network Security Engineer Location: Mumbai Experience: 4–6 Years Shift: 24×7 (Rotational) Employment Type: Full-Time Job Summary The L2 Anti-DDoS Engineer is responsible for monitoring, analyzing, and mitigating DDoS attacks , ensuring high availability of critical applications and network infrastructure. The role involves incident handling, troubleshooting, and optimization of DDoS protection systems within a managed security services environment. Key Responsibilities…","C, R",Not Specified,Not Disclosed,Mumbai,Onsite,2026-05-26,Adzuna
Network Support Analyst,frenzoft,Game / AR / VR,"We are hiring Senior L2 Network Engineers with strong hands‑on experience in Cisco Technologies, Routing, Switching, Firewall administration, and CCNA certification . The role involves troubleshooting, monitoring, and administering secure network infrastructure in rotational shifts. Mandatory Skills — L2 Network Engineer — CCNA certified — Cisco Technologies — Routing & Switching — Firewall administration","C, R",Senior (5+ yrs),Not Disclosed,Chennai,Onsite,2026-04-29,Adzuna
Senior Software Test Engineers - Network Security Protocol,Happiest Minds Technologies,Cybersecurity,"Role: Senior/ Technical Lead Engineer Experience: 3 to 16 Years Location : Bangalore Role Summary We are looking for experienced Network Test Engineers with strong Python coding ability to join our dynamic team responsible for validating high-performance, enterprise-grade networking features. The ideal candidates will have strong domain knowledge in L2/L3 protocols, multicast routing, automation with Python, and test framework development. Engineers will be involved in validating features acros…","Python, C, R, ROS",Senior (5+ yrs),Not Disclosed,Bengaluru,Onsite,2026-05-13,Adzuna
Network Architect Versa,HCLTech,Game / AR / VR,"Versa Network Design Engineer Experience: 9 to 15 Years Location: Chennai, Noida and Bangalore Shift timing: US shift : Versa Network Engineers are designated to provide overall engineering oversight of the customer's managed network. The Network Engineer understands the customer's internetworking environment and is the customer's technical advisor for current and future technology deployment and adoption. The Network Engineer utilizes consistent and sound engineering principles and industry b…","C, R",Entry Level,Not Disclosed,Chennai,Onsite,2026-05-07,Adzuna
L3 Zscaler engineer,Movate,DevOps / Cloud,"We are pleased to inform you that we are looking for an experienced L3 Network Engineer – Zscaler ZPA to join our team at Movate. Job Title: L3 Network Engineer – Zscaler ZPA Expectations: 6 years of hands-on experience in enterprise networking (LAN/WAN/SD-WAN) and cloud connectivity Strong operational knowledge of Zscaler ZIA/ZPA/ZDX, including PAC file management, tunnel modes, and advanced firewall policies Hands-on experience with Cisco Meraki, SD-WAN, templates, policies, and remote troubl…","C, R",Not Specified,Not Disclosed,India,Remote,2026-04-27,Adzuna
Network Team Lead,Tata Communications,Game / AR / VR,"We are looking for a skilled L2 Network Engineer to manage escalated network issues, ensure infrastructure stability, and support deployment and configuration of network devices. The ideal candidate should have strong troubleshooting skills, hands-on experience with routers, switches, and firewalls, and the ability to support complex network environments. Key Responsibilities: Handle L2 escalations and troubleshoot complex network issues. Configure and maintain routers, switches, and firewalls.…","C, Scala, R, Firewalls",Not Specified,Not Disclosed,India,Onsite,2026-05-18,Adzuna
Network Administrator,Tata Consultancy Services,AI / ML / Data Science,"Role - Network L1 Admin EXP - 2 to 4 years Hiring Location - Pune - Chennai - Bengaluru Virtual interview date- 27-Mar-26 (Friday online) Role & Responsibilities: - Network Engineer (L1) focus on first line support for standard and low complexity incidents and maintains the Networking environmental and monitoring equipment. Monitor infrastructure Identify problems and errors Ensure that the assigned infrastructure at the client is configured, installed, tested and operational. Report and escala…","C, Scala, R",Not Specified,Not Disclosed,Chennai,Onsite,2026-04-27,Adzuna
Data Center Engineer,Infogain,Game / AR / VR,"Position: Network Engineer Overall IT experience: 4 to 10 years Primary Skills: Routing, Switching, Network implementation, Establishing green field data centers Work Location: Bengaluru Mode of Work: In Office (Work from office all 5 days a week) Work schedule: Only NIGHT SHIFTS (USA timings) Mandatory Skills & Experience Network Hardware Expertise Hands-on experience with Cisco and/or Juniper routers and switches Deployment and support of enterprise or service-provider-grade network platforms…","C, R",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-23,Adzuna
Senior Network Analyst,Accendra Health,Mobile Development,"Accendra Health (formerly Owens & Minor, Inc.) is a leading nationwide provider of critical products, technology, and services that support health beyond the hospital for millions of Americans each year. Backed by the industry-leading expertise of our Apria and Byram Healthcare brands, Accendra Health is reimagining the future of home-based care with one of the broadest portfolios of essentials for diabetes, sleep health, wound care, respiratory care, urology, and ostomy. At Accendra Health, we…","C, R",Lead/Principal (8+ yrs),Not Disclosed,India,Onsite,2026-05-27,Adzuna
IPv4 IPv6 Deployment Engineer,Infogain,Game / AR / VR,"Position: Network Engineer Overall IT experience: 4 to 10 years Primary Skills: Routing, Switching, Network implementation, Establishing green field data centers Work Location: Bengaluru Mode of Work: In Office Mandatory Technical Skills Network Hardware Expertise Hands-on experience with Cisco and/or Juniper routers and switches Deployment and support of enterprise or service-provider-grade network platforms IP Networking & Protocols Strong proficiency in IP routing and switching Practical exp…","C, R",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-04-30,Adzuna
Telecommunications Engineer,Lepton Software,Backend / API,"JOB RESPONSIBILITY Should have exposure of Fiber, Copper Transport, MAN and access network Planning (planning for aggregator, access rings and there bandwidth along with optimized fiber termination plan). 3 years’ experience holder of any Fiber planning & optimization tool exposure (Lepton’s Smart Inventory, MapInfo 16.0, Network Engineer, Small World, Connect Master & Coms of are preferable). Different types of technology like PDH, SDH, IP-MPLS, DWDM etc. All terminology of Fiber & Copper net…","C, R",Not Specified,Not Disclosed,"Gandhinagar, Gujarat",Onsite,2026-05-02,Adzuna
